experiment_id,protease_type,protease_concentration_U/ml,selection_strength,conc_factor,parent,fastq_id,parent_expression,fraction_collected,cells_collected
1,trypsin,none,0,,,gabe1_,,,
1,trypsin,low,1,3,0,gabe3_,,,1372222
1,trypsin,high,2,3,0,gabe4_,,,873674
1,trypsin,low,3,3,2,gabe5_,0.366,0.23,1182476
1,trypsin,high,4,3,2,gabe6_,0.366,0.141,773933
1,trypsin,low,5,3,4,gabe7_,0.449,0.067,528673
1,trypsin,high,6,3,4,gabe8_,0.449,0.005,20088
1,chymotrypsin,none,0,,,gabe9_,,,
1,chymotrypsin,low,1,3,0,gabe11_,,,758438
1,chymotrypsin,high,2,3,0,gabe12_,,,1145177
1,chymotrypsin,low,3,3,2,gabe13_,0.496,0.312,1463207
1,chymotrypsin,high,4,3,2,gabe14_,0.496,0.081,296415
1,chymotrypsin,low,5,3,4,gabe15_,0.565,0.014,34783
1,chymotrypsin,high,6,3,4,gabe16_,0.565,0.011,31325
