# Eva1 proteins
library,name
Eva1,bGM_490
Eva1,ems_4hM_668
Eva1,bGM_337
Eva1,ems_ferrM_346_0002
Eva1,ems_4hC_1122_0002
Eva1,ems_ferrM_3817
Eva1,ems_4hM_4969_0002
Eva1,ems_ferrM_2250_0002
Eva1,ems_4hC_1518_0002
Eva1,ems_4hM_3614
Eva1,ems_ferrM_4256_0002
Eva1,ems_ferrM_2225
Eva1,ems_4hC_2751
Eva1,ems_ferrM_5806_0002
Eva1,ems_ferrM_3381_0002
Eva1,ems_ferrM_6805_0002
Eva1,ems_ferrM_3800_0002
Eva1,ems_ferrC_1392
Eva1,ems_ferrM_5589
Eva1,ems_ferrM_6384_0002
Eva1,ems_4hM_3705_0002
Eva1,ems_ferrC_1847
Eva1,ems_ferrC_1435
Eva1,ems_4hM_1141
Eva1,ems_4hM_3408_0002
Eva1,ems_4hC_2497
Eva1,ems_4hM_3275
Eva1,ems_4hM_5034_0002
Eva1,ems_thioM_242_0002
Eva1,ems_4hC_2330
Eva1,ems_4hM_2392
Eva1,ems_f4m_396
Eva1,ems_4hM_2847
Eva1,ems_ferrM_3004
Eva1,ems_coilM_2
Eva1,ems_ferrM_1564_0002
Eva1,ems_4hM_1287
Eva1,ems_4hC_868_0002
Eva1,ems_ferrM_2567_0002
Eva1,ems_ferrC_1054
Eva1,ems_f2_462
Eva1,ems_f2_810
Eva1,ems_4hC_1615_0002
Eva1,ems_ferrM_7158_0002
Eva1,ems_4hM_1520
Eva1,ems_4hM_1952
Eva1,bGM_208_0002
Eva1,ems_ferrM_1751
Eva1,ems_ferrC_668
Eva1,ems_4hM_5348
Eva1,ems_fer_extC_123
Eva1,ems_ferrM_1780
Eva1,ems_4hM_1256
Eva1,ems_thioM_1056
Eva1,ems_4hM_4508
Eva1,ems_ferrC_1085
Eva1,ems_4hM_2343
Eva1,ems_4hM_4030_0002
Eva1,ems_4hC_3206
Eva1,ems_4hC_606_0002
Eva1,ems_ferrC_2190
Eva1,ems_4hC_2878_0002
Eva1,ems_f4m_347
Eva1,ems_4hC_2446
Eva1,ems_4hM_2036_0002
Eva1,ems_4hM_3503
Eva1,ems_4hM_4169
Eva1,ems_4hM_4707_0002
Eva1,ems_f2_775
Eva1,ems_4hM_1190
Eva1,ems_ferrM_4383_0002
Eva1,ems_4hM_2701_0002
Eva1,ems_ferrM_1834
Eva1,ems_ferrM_1446
Eva1,ems_ferrM_2804_0002
Eva1,ems_4hM_3162
Eva1,ems_ferrM_2553
Eva1,ems_4hM_714_0002
Eva1,ems_ferrM_2921
Eva1,ems_4hC_3125_0002
Eva1,ems_ferrM_3313
Eva1,ems_4hM_2722
Eva1,bGM_441
Eva1,ems_f4m_86
Eva1,ems_4hM_2085
Eva1,ems_ferrM_6251_0002
Eva1,ems_ferrM_807
Eva1,ems_4hM_427
Eva1,ems_ferrM_5388_0002
Eva1,ems_4hC_41_0002
Eva1,ems_4hM_5336_0002
Eva1,ems_4hM_380
Eva1,ems_thioM_634
Eva1,ems_ferrM_7093
Eva1,ems_ferrM_4259_0002
Eva1,ems_4hM_2960_0002
Eva1,ems_ferrM_1666_0002
Eva1,ems_ferrM_4621
Eva1,ems_4hM_1963_0002
Eva1,ems_ferrM_4186
Eva1,ems_4hM_4450
Eva1,ems_thioC_207
Eva1,ems_bGC_186
Eva1,ems_thioM_255
Eva1,ems_thioM_980
Eva1,ems_4hC_1220_0002
Eva1,bGM_207_0002
Eva1,ems_ferrM_6515
Eva1,bGM_519
Eva1,ems_ferrM_4154_0002
Eva1,ems_4hC_867_0002
Eva1,ems_4hC_3098
Eva1,ems_ferrM_5872
Eva1,ems_ferrM_5400
Eva1,ems_4hM_4031
Eva1,ems_bGC_240
Eva1,ems_4hM_4796
Eva1,ems_ferrM_4240
Eva1,ems_ferrC_380
Eva1,ems_4hM_4405_0002
Eva1,ems_ferrC_884
Eva1,ems_4hM_5107
Eva1,ems_ferrM_1268
Eva1,ems_ferrM_4944
Eva1,ems_ferrC_351
Eva1,ems_4hC_609_0002
Eva1,ems_4hM_2403_0002
Eva1,ems_4hM_1019
Eva1,ems_4hM_4747
Eva1,ems_4hC_1874_0002
Eva1,ems_ferrM_6569_0002
Eva1,ems_ferrM_7384
Eva1,ems_thioM_523
Eva1,ems_4hC_2609
Eva1,ems_ferrM_6153_0002
Eva1,ems_4hM_321_0002
Eva1,ems_ferrM_3661_0002
Eva1,ems_bGC_157
Eva1,ems_4hM_4326
Eva1,ems_4hM_3964_0002
Eva1,ems_ferrM_6664_0002
Eva1,ems_ferrM_1609
Eva1,ems_ferrC_730
Eva1,ems_thioM_142
Eva1,ems_4hM_351
Eva1,ems_ferrC_2019
Eva1,ems_4hM_1337_0002
Eva1,ems_ferrM_4412
Eva1,ems_ferrC_275
Eva1,ems_ferrM_6758_0002
Eva1,ems_ferrM_3367_0002
Eva1,ems_ferrM_1899
Eva1,ems_4hM_3858_0002
Eva1,ems_ferrC_1449
Eva1,ems_ferrM_5361_0002
Eva1,ems_4hM_4663
Eva1,ems_ferrM_5252
Eva1,ems_ferrM_5987
Eva1,ems_ferrM_646
Eva1,ems_ferrM_6347
Eva1,ems_4hM_2208_0002
Eva1,ems_ferrM_4931_0002
Eva1,ems_4hM_3668
Eva1,ems_thioM_407
Eva1,ems_thioM_875
Eva1,ems_ferrM_821_0002
Eva1,ems_ferrM_2581_0002
Eva1,ems_ferrM_1582_0002
Eva1,ems_ferrM_5194
Eva1,ems_4hC_735_0002
Eva1,ems_4hM_5442
Eva1,ems_ferrC_614
Eva1,ems_ferrM_3450_0002
Eva1,ems_ferrM_2638
Eva1,ems_coilM_46
Eva1,ems_bGC_124_0002
Eva1,ems_4hM_275
Eva1,ems_4hM_2449
Eva1,ems_ferrM_3078
Eva1,ems_ferrM_6081
Eva1,ems_ferrM_580
Eva1,ems_4hM_2498
Eva1,ems_4hC_2725_0002
Eva1,ems_ferrM_551
Eva1,ems_4hM_971
Eva1,ems_4hC_2848
Eva1,ems_thioM_710
Eva1,ems_fer_extM_97
Eva1,ems_4hM_5493
Eva1,ems_4hM_5334
Eva1,ems_ferrM_6580_0002
Eva1,ems_ferrM_5145
Eva1,ems_4hM_4574
Eva1,ems_ferrM_5583_0002
Eva1,ems_f2_368
Eva1,ems_ferrM_5935_0002
Eva1,ems_ferrM_2288
Eva1,ems_ferrM_7271
Eva1,ems_thioM_371
Eva1,ems_ferrM_697
Eva1,ems_ferrM_3933_0002
Eva1,ems_ferrM_130
Eva1,ems_thioM_1109_0002
Eva1,ems_4hM_3636_0002
Eva1,ems_4hC_2012_0002
Eva1,ems_ferrM_1360_0002
Eva1,ems_ferrM_5283
Eva1,ems_ferrC_1498
Eva1,ems_ferrM_5524
Eva1,ems_ferrM_5956
