# Eva2 2017 proteins
library,name
Eva2,bGM_8_0002
Eva2,ems_4hM_3663_0002
Eva2,ems_3hC_104_0002
Eva2,ems_f2_564
Eva2,ems_3hC_1410
Eva2,p1-15H-GBL-16H-GBL-15H_0009_0001_0001_0002
Eva2,ems_4hM_5295_0001
Eva2,ems_ferrM_7164_0001
Eva2,ems_3hM_1315
Eva2,ems_4hC_3196_0002
Eva2,ems_ferrM_4167_0001
Eva2,ems_ferrM_1558_0001
Eva2,ems_3hC_1138_0001
Eva2,ems_4hM_2342_0001
Eva2,ems_ferrM_2946
Eva2,ems_ferrM_6858
Eva2,ems_ferrM_3374
Eva2,bGM_171_0002
Eva2,bGM_581_0001
Eva2,ems_4hM_2388_0002
Eva2,ems_4hM_2602
Eva2,ems_ferrM_5446_0002
Eva2,ems_3hM_3440
Eva2,ems_4hM_2475_0001
Eva2,ems_thioM_1006_0001
Eva2,ems_thioM_483
Eva2,ems_3hM_95
Eva2,ems_3hM_1774
Eva2,ems_ferrM_3787_0001
Eva2,ems_ferrM_6748_0002
Eva2,ems_4hM_5268
Eva2,ems_4hC_1383_0001
Eva2,bGM_646_0002
Eva2,ems_coilM_61_0002
Eva2,ems_3hM_148
Eva2,ems_3hC_1235_0001
Eva2,ems_3hC_1071
Eva2,ems_4hM_1376
Eva2,ems_ferrM_5781_0001
Eva2,ems_4hM_812
Eva2,ems_ferrM_5371_0002
Eva2,ems_3hC_633_0002
Eva2,ems_4hC_31_0002
Eva2,ems_ferrM_1655_0001
Eva2,ems_3hC_988_0002
Eva2,ems_4hM_5198_0001
Eva2,ems_ferrM_2656_0001
Eva2,ems_3hM_3021
Eva2,ems_4hM_5152_0002
Eva2,ems_3hC_909
Eva2,ems_4hC_388_0001
Eva2,ems_3hM_2661
Eva2,ems_4hC_778_0002
Eva2,ems_ferrC_924
Eva2,p1-15H-GABBL-15H-GBBL-16H_0395_0001_0001_0002
Eva2,ems_ferrC_556
Eva2,ems_ferrM_4650_0001
Eva2,ems_4hM_3423
Eva2,ems_3hC_209_0002
Eva2,bGM_108
Eva2,ems_ferrM_6926_0002
Eva2,ems_3hM_2117
Eva2,ems_4hC_2210
Eva2,ems_4hM_3880
Eva2,ems_ferrC_587
Eva2,ems_4hC_2255_0001
Eva2,ems_ferrM_5654_0001
Eva2,bGM_363_0001
Eva2,ems_4hM_478_0001
Eva2,ems_ferrC_2126
Eva2,ems_thioFL2_334
Eva2,ems_4hM_1_0001
Eva2,ems_4hM_1199_0001
Eva2,ems_ferrM_6657_0001
Eva2,ems_f4m_289
Eva2,ems_3hM_199
Eva2,ems_3hC_1707
Eva2,ems_ferrM_613
Eva2,ems_ferrM_2783_0001
Eva2,ems_3hC_316_0001
Eva2,ems_4hC_667_0001
Eva2,ems_ferrM_1780_0001
Eva2,ems_4hM_3471_0001
Eva2,ems_3hC_897_0001
Eva2,ems_3hM_44
Eva2,ems_3hM_1002
Eva2,ems_4hM_5087_0002
Eva2,ems_ferrM_1736
Eva2,p1-15H-GBL-16H-GBL-15H_0623_0001_0001_0002
Eva2,ems_3hM_3336
Eva2,ems_4hM_2174
Eva2,ems_3hM_3491
Eva2,ems_thioM_611_0001
Eva2,p1-15H-GBL-16H-GBL-14H_0008_0001_0001_0001
Eva2,ems_3hC_421_0001
Eva2,ems_4hM_3734
Eva2,ems_ferrC_641
Eva2,ems_3hM_2904
Eva2,ems_3hM_2576
Eva2,ems_thioFL2_17
Eva2,ems_4hM_5340_0001
Eva2,ems_4hM_4910_0001
Eva2,ems_4hM_775_0001
Eva2,ems_4hM_1664_0002
Eva2,ems_3hM_1811
Eva2,ems_4hC_2158_0001
Eva2,ems_ferrM_4409
Eva2,ems_4hM_2297_0001
Eva2,ems_4hC_2562_0001
Eva2,ems_3hC_1027_0002
Eva2,ems_3hC_1366
Eva2,ems_4hM_2916_0001
Eva2,ems_ferrC_1452
Eva2,ems_4hM_804_0002
Eva2,ems_4hM_4291_0001
Eva2,ems_ferrM_6160_0001
Eva2,ems_bGwo_58_0001
Eva2,ems_4hC_1191_0002
Eva2,ems_4hC_1561_0001
Eva2,bGM_454_0001
Eva2,ems_3hM_766
Eva2,ems_4hM_4800_0002
Eva2,ems_fer_extC_137
