# Inna proteins
library,name
Inna,p1-15H-GBL-16H-GBL-15H_0568_0001
Inna,p1-15H-GBL-16H-GABBL-16H_0379_0001
Inna,p1-14H-GBL-15H-GBL-15H_0126_0001
Inna,p1-14H-GBL-14H-GABBL-15H_0865_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0152_0001
Inna,p1-15H-GBL-16H-GBL-15H_0606_0001
Inna,p1-14H-GBL-16H-GABBL-15H_0064_0001
Inna,p1-15H-GBL-16H-GABBL-15H_0189_0001
Inna,p1-15H-GBL-16H-GBL-15H_0255_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0054_0001
Inna,p1-15H-GBL-16H-GABBL-15H_0356_0001
Inna,p1-15H-GBL-16H-GBL-14H_0323_0001
Inna,p1-15H-GBL-16H-GABBL-16H_0101_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0503_0001
Inna,p1-15H-GBL-16H-GABBL-15H_0336_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0219_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0763_0001
Inna,p1-14H-GBL-16H-GBL-14H_0873_0001
Inna,p1-14H-GBL-14H-GABBL-15H_0481_0001_0001
Inna,p1-16H-GBL-14H-GBL-14H_0296_0001_0001
Inna,p1-16H-GBBL-15H-GBBL-15H_0084_0001_0001
Inna,p1-14H-GBL-14H-GBL-14H_0655_0001
Inna,p1-14H-GBL-16H-GBL-16H_0776_0001
Inna,p1-14H-GBL-16H-GABBL-15H_0578_0001
Inna,p1-14H-GBL-16H-GBL-15H_0809_0001
Inna,p1-14H-GBL-16H-GABBL-15H_0506_0001
Inna,p1-14H-GBL-14H-GBL-16H_0675_0001
Inna,p1-14H-GABBL-14H-GBL-14H_0124_0001_0001
Inna,p1-15H-BBL-14H-GABBL-16H_0987_0001_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0280_0001_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0131_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0672_0001
Inna,p1-14H-GBL-16H-GBL-16H_0748_0001
Inna,p1-15H-GABBL-14H-GBL-16H_0616_0001
Inna,p1-14H-GBL-14H-GABBL-15H_0148_0001
Inna,p1-16H-GBL-16H-GABBL-15H_0426_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0013_0001
Inna,p1-16H-GBL-16H-GABBL-15H_0005_0001
Inna,p1-16H-GBL-16H-GABBL-15H_0022_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0053_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0014_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0895_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0960_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0713_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0710_0001
Inna,p1-14H-GBL-14H-GBL-15H_0609_0001
Inna,p1-14H-GBL-16H-GBBL-16H_0329_0001_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0367_0001
Inna,p1-14H-GBL-16H-GBL-16H_0714_0001
Inna,p1-14H-GBL-14H-GBL-14H_0622_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0847_0001_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0773_0001
Inna,p1-14H-GBL-16H-GBL-14H_0148_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0776_0001
Inna,p1-14H-BBL-16H-GABBL-15H_0203_0001_0001
Inna,p1-14H-GBL-16H-GBL-15H_0701_0001
Inna,p1-14H-GBL-16H-GBBL-16H_0625_0001_0001
Inna,p1-14H-GBL-16H-GABBL-15H_0203_0001_0001
Inna,p1-16H-GABBL-15H-GBL-14H_0608_0001_0001
Inna,p1-16H-GABBL-15H-GBBL-14H_0345_0001_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0604_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0016_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0091_0001
Inna,p1-16H-GBL-16H-GABBL-15H_0030_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0524_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0253_0001
Inna,p1-14H-GBL-16H-GABBL-16H_0507_0001
