# Longxing proteins
library,name
Longxing,EEHEE_40314
Longxing,EEHEE_15379
Longxing,EEHEE_25051
Longxing,EEHEE_31137
Longxing,EEHEE_21930
Longxing,EEHEE_02168
Longxing,EEHEE_33480
Longxing,EEHEE_00547
Longxing,EEHEE_14390
Longxing,EEHEE_00581
Longxing,EEHEE_26853
Longxing,EEHEE_28283
Longxing,EEHEE_27037
Longxing,EEHEE_24622
Longxing,EEHEE_11511
Longxing,EEHEE_39300
Longxing,EEHEE_38116
Longxing,EEHEE_26360
Longxing,EEHEE_11952
Longxing,EEHEE_19181
Longxing,EEHEE_31424
Longxing,EEHEE_12527
Longxing,EEHEE_02314
Longxing,EEHEE_35904
Longxing,EEHEE_07108
Longxing,EEHEE_35525
Longxing,EEHEE_07137
Longxing,EEHEE_29026
Longxing,EEHEE_18459
Longxing,EEHEE_40066
Longxing,EEHEE_08837
Longxing,EEHEE_41273
Longxing,EEHEE_03379
Longxing,EEHEE_10996
Longxing,EEHEE_02741
Longxing,EEHEE_33075
Longxing,EEHEE_39135
Longxing,EEHEE_32856
Longxing,EEHEE_30702
Longxing,EEHEE_13764
Longxing,EEHEE_38237
Longxing,EEHEE_06765
Longxing,EEHEE_33866
Longxing,EEHEE_25393
Longxing,EEHEE_06869
Longxing,EEHEE_26252
Longxing,EEHEE_17305
Longxing,EEHEE_10110
Longxing,EEHEE_06982
Longxing,EEHEE_08002
Longxing,EEHEE_27251
Longxing,EEHEE_18970
Longxing,EEHEE_32882
Longxing,EEHEE_23862
Longxing,EEHEE_09420
Longxing,EEHEE_14925
Longxing,EEHEE_15777
Longxing,EEHEE_40791
Longxing,EEHEE_06614
Longxing,EEHEE_27133
Longxing,EEHEE_22342
Longxing,EEHEE_05948
Longxing,EEHEE_19730
Longxing,EEHEE_26980
Longxing,EEHEE_16661
Longxing,EEHEE_06222
Longxing,EEHEE_27891
Longxing,EEHEE_25833
Longxing,EEHEE_24253
Longxing,EEHEE_06385
Longxing,EEHEE_12138
Longxing,EEHEE_29403
Longxing,EEHEE_31545
Longxing,EEHEE_01873
Longxing,EEHEE_32836
Longxing,EEHEE_12972
Longxing,EEHEE_12677
Longxing,EEHEE_22794
Longxing,EEHEE_04168
Longxing,EEHEE_13414
Longxing,EEHEE_11708
Longxing,EEHEE_40751
Longxing,EEHEE_05876
Longxing,EEHEE_01894
Longxing,EEHEE_25379
Longxing,EEHEE_40117
Longxing,EEHEE_12961
Longxing,EEHEE_02351
Longxing,EEHEE_21955
Longxing,EEHEE_24843
Longxing,EEHEE_01764
Longxing,EEHEE_28323
Longxing,EEHEE_21025
Longxing,EEHEE_22956
Longxing,EEHEE_27233
Longxing,EEHEE_28439
Longxing,EEHEE_35361
Longxing,EEHEE_36110
Longxing,EEHEE_16485
Longxing,EEHEE_21303
Longxing,EEHEE_11564
Longxing,EEHEE_02722
Longxing,EEHEE_07659
Longxing,EEHEE_05705
Longxing,EEHEE_07668
Longxing,EEHEE_26271
Longxing,EEHEE_28920
Longxing,EEHEE_07651
Longxing,EEHEE_38241
Longxing,EEHEE_27369
Longxing,EEHEE_29232
Longxing,EEHEE_32654
Longxing,EEHEE_22203
Longxing,EEHEE_05738
Longxing,EEHEE_19740
Longxing,EEHEE_31273
Longxing,EEHEE_40393
Longxing,EEHEE_16153
Longxing,EEHEE_40456
Longxing,EEHEE_32539
Longxing,EEHEE_06272
Longxing,EEHEE_39069
Longxing,EEHEE_07626
Longxing,EEHEE_41513
Longxing,EEHEE_07085
Longxing,EEHEE_09072
Longxing,EEHEE_28736
Longxing,EEHEE_34719
Longxing,EEHEE_15598
Longxing,EEHEE_35121
Longxing,EEHEE_02866
Longxing,EEHEE_08505
Longxing,EEHEE_22751
Longxing,EEHEE_36074
Longxing,EEHEE_04658
Longxing,EEHEE_28184
Longxing,EEHEE_34999
Longxing,EEHEE_22825
Longxing,EEHEE_15933
Longxing,EEHEE_18932
Longxing,EEHEE_29242
Longxing,EEHEE_04771
Longxing,EEHEE_18197
Longxing,EEHEE_18999
Longxing,EEHEE_09568
Longxing,EEHEE_13048
Longxing,EEHEE_11286
Longxing,EEHEE_16551
Longxing,EEHEE_07114
Longxing,EEHEE_29647
Longxing,EEHEE_33643
Longxing,EEHEE_14210
Longxing,EEHEE_13189
Longxing,EEHEE_35358
Longxing,EEHEE_14105
Longxing,EEHEE_39432
Longxing,EEHEE_11079
Longxing,EEHEE_15000
Longxing,EEHEE_37548
Longxing,EEHEE_15631
Longxing,EEHEE_13867
Longxing,EEHEE_12671
Longxing,EEHEE_40494
Longxing,EEHEE_02278
Longxing,EEHEE_17220
Longxing,EEHEE_40418
Longxing,EEHEE_16807
Longxing,EEHEE_41107
Longxing,EEHEE_00317
Longxing,EEHEE_17514
Longxing,EEHEE_10571
Longxing,EEHEE_23849
Longxing,EEHEE_31171
Longxing,EEHEE_25103
Longxing,EEHEE_05326
Longxing,EEHEE_26990
Longxing,EEHEE_40656
Longxing,EEHEE_31335
Longxing,EEHEE_06710
Longxing,EEHEE_41581
Longxing,EEHEE_10177
Longxing,EEHEE_14348
Longxing,EEHEE_36550
Longxing,EEHEE_30027
Longxing,EEHEE_00459
Longxing,EEHEE_41715
Longxing,EEHEE_14302
Longxing,EEHEE_40008
Longxing,EEHEE_37946
Longxing,EEHEE_31350
Longxing,EEHEE_05743
Longxing,EEHEE_40264
Longxing,EEHEE_06793
Longxing,EEHEE_07450
Longxing,EEHEE_36423
Longxing,EEHEE_20470
Longxing,EEHEE_34769
Longxing,EEHEE_25864
Longxing,EEHEE_20390
Longxing,EEHEE_23671
Longxing,EEHEE_14070
Longxing,EEHEE_09845
Longxing,EEHEE_30358
Longxing,EEHEE_13794
Longxing,EEHEE_27229
Longxing,EEHEE_29302
Longxing,EEHEE_36385
Longxing,EEHEE_33788
Longxing,EEHEE_33631
Longxing,EEHEE_09957
Longxing,EEHEE_08238
Longxing,EEHEE_22923
Longxing,EEHEE_13358
Longxing,EEHEE_18832
Longxing,EEHEE_26737
Longxing,EEHEE_22248
Longxing,EEHEE_00938
Longxing,EEHEE_16817
Longxing,EEHEE_25127
Longxing,EEHEE_27554
Longxing,EEHEE_12397
Longxing,EEHEE_30972
Longxing,EEHEE_04643
Longxing,EEHEE_19703
Longxing,EEHEE_28030
