# 	 comment
library,name
Rocklin,HEEH_rd2_0365
Rocklin,EEHEE_rd2_0259
Rocklin,EEHEE_rd1_0176
Rocklin,EEHEE_rd1_1091
Rocklin,HEEH_rd2_1282
Rocklin,EHEE_rd1_0150
Rocklin,EEHEE_rd3_0713
Rocklin,HHH_rd1_0039
Rocklin,HEEH_rd3_0188
Rocklin,EEHEE_rd4_0742
Rocklin,EEHEE_rd3_1153
Rocklin,EHEE_rd3_0092
Rocklin,EHEE_rd4_0764
Rocklin,HEEH_rd2_1144
Rocklin,EEHEE_rd2_1078
Rocklin,EHEE_rd1_0296
Rocklin,EHEE_rd1_0943
Rocklin,EHEE_rd1_0531
Rocklin,EEHEE_rd2_0638
Rocklin,HEEH_rd2_0704
Rocklin,EEHEE_rd1_0965
Rocklin,EEHEE_rd1_0517
Rocklin,HEEH_rd1_0859
Rocklin,EEHEE_rd3_1532
Rocklin,EEHEE_rd3_1295
Rocklin,EHEE_rd4_0305
Rocklin,EEHEE_rd3_0372
Rocklin,EEHEE_rd4_0484
Rocklin,HHH_rd1_0458
Rocklin,EEHEE_rd4_0323
Rocklin,HEEH_rd4_0569
Rocklin,HHH_rd2_0001
Rocklin,EEHEE_rd4_0827
Rocklin,EEHEE_rd4_0455
Rocklin,HHH_rd1_0489
Rocklin,HEEH_rd3_0538
Rocklin,EEHEE_rd3_0876
Rocklin,EEHEE_rd3_0404
Rocklin,EHEE_rd4_0801
Rocklin,EHEE_rd4_0473
Rocklin,EEHEE_rd3_1244
Rocklin,HEEH_rd3_1378
Rocklin,EEHEE_rd1_0261
Rocklin,HEEH_rd1_0888
Rocklin,HEEH_rd2_0072
Rocklin,HHH_rd4_0968
Rocklin,EHEE_rd1_0247
Rocklin,HEEH_rd2_1195
Rocklin,EHEE_rd1_0992
Rocklin,EHEE_rd2_0168
Rocklin,EHEE_rd4_0012
Rocklin,EEHEE_rd3_1182
Rocklin,HEEH_rd3_1719
Rocklin,EEHEE_rd3_1625
Rocklin,EHEE_rd3_0043
Rocklin,EEHEE_rd4_0034
Rocklin,HEEH_rd4_0108
Rocklin,EEHEE_rd4_0793
Rocklin,EEHEE_rd3_0065
Rocklin,HEEH_rd3_0159
Rocklin,EHEE_rd1_0626
Rocklin,EEHEE_rd1_1040
Rocklin,EHEE_rd2_0509
Rocklin,EHEE_rd1_0181
Rocklin,HEEH_rd2_1253
Rocklin,EEHEE_rd2_0288
Rocklin,EEHEE_rd1_0600
Rocklin,HEEH_rd2_0413
Rocklin,HEEH_rd2_0861
Rocklin,EEHEE_rd1_0339
Rocklin,HEEH_rd1_0205
Rocklin,EEHEE_rd2_0016
Rocklin,HHH_rd4_0442
Rocklin,HHH_rd4_0830
Rocklin,EHEE_rd2_0797
Rocklin,EHEE_rd2_0030
Rocklin,HEEH_rd4_0843
Rocklin,HHH_rd2_0159
Rocklin,HEEH_rd4_0431
Rocklin,HHH_rd1_0276
Rocklin,HEEH_rd4_0396
Rocklin,HEEH_rd3_0812
Rocklin,HEEH_rd3_0460
Rocklin,EHEE_rd4_0959
Rocklin,HEEH_rd3_1587
Rocklin,HEEH_rd3_1220
Rocklin,EEHEE_rd1_1118
Rocklin,EHEE_rd2_0451
Rocklin,EHEE_rd2_0823
